ID,Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
1,1,30.83,0.0,1,1,Industrials,White,1.25,1,1,1,0,ByBirth,202,0,1
2,0,58.67,4.46,1,1,Materials,Black,3.04,1,1,6,0,ByBirth,43,560,1
3,0,24.5,0.5,1,1,Materials,Black,1.5,1,0,0,0,ByBirth,280,824,1
4,1,27.83,1.54,1,1,Industrials,White,3.75,1,1,5,1,ByBirth,100,3,1
5,1,20.17,5.625,1,1,Industrials,White,1.71,1,0,0,0,ByOtherMeans,120,0,1
6,1,32.08,4.0,1,1,CommunicationServices,White,2.5,1,0,0,1,ByBirth,360,0,1
7,1,33.17,1.04,1,1,Transport,Black,6.5,1,0,0,1,ByBirth,164,31285,1
8,0,22.92,11.585,1,1,InformationTechnology,White,0.04,1,0,0,0,ByBirth,80,1349,1
9,1,54.42,0.5,0,0,Financials,Black,3.96,1,0,0,0,ByBirth,180,314,1
10,1,42.5,4.915,0,0,Industrials,White,3.165,1,0,0,1,ByBirth,52,1442,1
11,1,22.08,0.83,1,1,Energy,Black,2.165,0,0,0,1,ByBirth,128,0,1
12,1,29.92,1.835,1,1,Energy,Black,4.335,1,0,0,0,ByBirth,260,200,1
13,0,38.25,6.0,1,1,Financials,White,1.0,1,0,0,1,ByBirth,0,0,1
14,1,48.08,6.04,1,1,Financials,White,0.04,0,0,0,0,ByBirth,0,2690,1
15,0,45.83,10.5,1,1,Materials,White,5.0,1,1,7,1,ByBirth,0,0,1
16,1,36.67,4.415,0,0,Financials,White,0.25,1,1,10,1,ByBirth,320,0,1
17,1,28.25,0.875,1,1,CommunicationServices,White,0.96,1,1,3,1,ByBirth,396,0,1
18,0,23.25,5.875,1,1,Materials,White,3.17,1,1,10,0,ByBirth,120,245,1
19,1,21.83,0.25,1,1,Real Estate,Black,0.665,1,0,0,1,ByBirth,0,0,1
20,0,19.17,8.585,1,1,InformationTechnology,Black,0.75,1,1,7,0,ByBirth,96,0,1
21,1,25.0,11.25,1,1,Energy,White,2.5,1,1,17,0,ByBirth,200,1208,1
22,1,23.25,1.0,1,1,Energy,White,0.835,1,0,0,0,ByOtherMeans,300,0,1
23,0,47.75,8.0,1,1,Energy,White,7.875,1,1,6,1,ByBirth,0,1260,1
24,0,27.42,14.5,1,1,Utilities,Black,3.085,1,1,1,0,ByBirth,120,11,1
25,0,41.17,6.5,1,1,Materials,White,0.5,1,1,3,1,ByBirth,145,0,1
26,0,15.83,0.585,1,1,Energy,Black,1.5,1,1,2,0,ByBirth,100,0,1
27,0,47.0,13.0,1,1,ConsumerDiscretionary,Asian,5.165,1,1,9,1,ByBirth,0,0,1
28,1,56.58,18.5,1,1,Real Estate,Asian,15.0,1,1,17,1,ByBirth,0,0,1
29,1,57.42,8.5,1,1,Education,Black,7.0,1,1,3,0,ByBirth,0,0,1
30,1,42.08,1.04,1,1,Industrials,White,5.0,1,1,6,1,ByBirth,500,10000,1
31,1,29.25,14.79,1,1,ConsumerStaples,White,5.04,1,1,5,1,ByBirth,168,0,1
32,1,42.0,9.79,1,1,Utilities,Black,7.96,1,1,8,0,ByBirth,0,0,1
33,1,49.5,7.585,1,1,ConsumerDiscretionary,Asian,7.585,1,1,15,1,ByBirth,0,5000,1
34,0,36.75,5.125,1,1,Education,White,5.0,1,0,0,1,ByBirth,0,4000,1
35,0,22.58,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,0,560,1
36,1,27.83,1.5,1,1,Industrials,White,2.0,1,1,11,1,ByBirth,434,35,1
37,1,27.25,1.585,1,1,InformationTechnology,Black,1.835,1,1,12,1,ByBirth,583,713,1
38,0,23.0,11.75,1,1,Utilities,Black,0.5,1,1,2,1,ByBirth,300,551,1
39,1,27.75,0.585,0,0,InformationTechnology,White,0.25,1,1,2,0,ByBirth,260,500,1
40,1,54.58,9.415,1,1,Healthcare,Latino,14.415,1,1,11,1,ByBirth,30,300,1
41,1,34.17,9.17,1,1,Energy,White,4.5,1,1,12,1,ByBirth,0,221,1
42,1,28.92,15.0,1,1,Energy,Black,5.335,1,1,11,0,ByBirth,0,2283,1
43,1,29.67,1.415,1,1,Industrials,Black,0.75,1,1,1,0,ByBirth,240,100,1
44,1,39.58,13.915,1,1,Industrials,White,8.625,1,1,6,1,ByBirth,70,0,1
45,1,56.42,28.0,0,0,Energy,White,28.5,1,1,40,0,ByBirth,0,15,1
46,1,54.33,6.75,1,1,Energy,Black,2.625,1,1,11,1,ByBirth,0,284,1
47,0,41.0,2.04,0,0,Materials,Black,0.125,1,1,23,1,ByBirth,455,1236,1
48,1,31.92,4.46,1,1,InformationTechnology,Black,6.04,1,1,3,0,ByBirth,311,300,1
49,1,41.5,1.54,1,1,ConsumerDiscretionary,Asian,3.5,0,0,0,0,ByBirth,216,0,1
50,1,23.92,0.665,1,1,Energy,White,0.165,0,0,0,0,ByBirth,100,0,1
51,0,25.75,0.5,1,1,Energy,Black,0.875,1,0,0,1,ByBirth,491,0,1
52,1,26.0,1.0,1,1,Materials,White,1.75,1,0,0,1,ByBirth,280,0,1
53,1,37.42,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth,400,5800,1
54,1,34.92,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth,239,200,1
55,1,34.25,3.0,1,1,InformationTechnology,Black,7.415,1,0,0,1,ByBirth,0,0,1
56,1,23.33,11.625,0,0,Industrials,White,0.835,1,0,0,1,ByBirth,160,300,1
57,1,23.17,0.0,1,1,InformationTechnology,White,0.085,1,0,0,0,ByBirth,0,0,1
58,1,44.33,0.5,1,1,ConsumerDiscretionary,Black,5.0,1,0,0,1,ByBirth,320,0,1
59,1,35.17,4.5,1,1,Utilities,Black,5.75,0,0,0,1,ByOtherMeans,711,0,1
60,1,43.25,3.0,1,1,Materials,Black,6.0,1,1,11,0,ByBirth,80,0,1
61,1,56.75,12.25,1,1,CommunicationServices,White,1.25,1,1,4,1,ByBirth,200,0,1
62,1,31.67,16.165,1,1,Real Estate,White,3.0,1,1,9,0,ByBirth,250,730,1
63,0,23.42,0.79,0,0,Materials,White,1.5,1,1,2,1,ByBirth,80,400,1
64,0,20.42,0.835,1,1,Materials,White,1.585,1,1,1,0,ByBirth,0,0,1
65,1,26.67,4.25,1,1,InformationTechnology,White,4.29,1,1,1,1,ByBirth,120,0,1
66,1,34.17,1.54,1,1,InformationTechnology,White,1.54,1,1,1,1,ByBirth,520,50000,1
67,0,36.0,1.0,1,1,Energy,White,2.0,1,1,11,0,ByBirth,0,456,1
68,1,25.5,0.375,1,1,CommunicationServices,White,0.25,1,1,3,0,ByBirth,260,15108,1
69,1,19.42,6.5,1,1,Industrials,Black,1.46,1,1,7,0,ByBirth,80,2954,1
70,1,35.17,25.125,1,1,Utilities,Black,1.625,1,1,1,1,ByBirth,515,500,1
71,1,32.33,7.5,1,1,Education,Asian,1.585,1,0,0,1,ByOtherMeans,420,0,0
72,1,34.83,4.0,1,1,Real Estate,Asian,12.5,1,0,0,1,ByBirth,0,0,0
73,0,38.58,5.0,1,1,InformationTechnology,White,13.5,1,0,0,1,ByBirth,980,0,0
74,1,44.25,0.5,1,1,CommunicationServices,White,10.75,1,0,0,0,ByOtherMeans,400,0,0
75,1,44.83,7.0,0,0,Energy,White,1.625,0,0,0,0,ByBirth,160,2,0
76,1,20.67,5.29,1,1,Materials,White,0.375,1,1,1,0,ByBirth,160,0,0
77,1,34.08,6.5,1,1,ConsumerStaples,White,0.125,1,0,0,1,ByBirth,443,0,0
78,0,19.17,0.585,0,0,ConsumerStaples,White,0.585,1,0,0,1,ByBirth,160,0,0
79,1,21.67,1.165,0,0,Financials,White,2.5,1,1,1,0,ByBirth,180,20,0
80,1,21.5,9.75,1,1,Energy,White,0.25,1,0,0,0,ByBirth,140,0,0
81,1,49.58,19.0,1,1,Healthcare,Latino,0.0,1,1,1,0,ByBirth,94,0,0
82,0,27.67,1.5,1,1,CommunicationServices,White,2.0,1,0,0,0,ByOtherMeans,368,0,0
83,1,39.83,0.5,1,1,CommunicationServices,White,0.25,1,0,0,0,ByOtherMeans,288,0,0
84,0,28.46,3.5,1,1,Real Estate,White,3.0,1,0,0,1,ByBirth,300,0,0
